L,p,promedio_cluster_percolante,desviacion_cluster_percolante,media_P,desviacion_P
128,0.0446,0.00000,0.00000,0.00000,0.00000
128,0.0500,0.00000,0.00000,0.00000,0.00000
128,0.0810,0.00000,0.00000,0.00000,0.00000
128,0.0932,0.00000,0.00000,0.00000,0.00000
128,0.1000,0.00000,0.00000,0.00000,0.00000
128,0.1403,0.00000,0.00000,0.00000,0.00000
128,0.1704,0.00000,0.00000,0.00000,0.00000
128,0.2000,0.00000,0.00000,0.00000,0.00000
128,0.2538,0.00000,0.00000,0.00000,0.00000
128,0.2542,0.00000,0.00000,0.00000,0.00000
128,0.2587,0.00000,0.00000,0.00000,0.00000
128,0.3000,0.00000,0.00000,0.00000,0.00000
128,0.3194,0.00000,0.00000,0.00000,0.00000
128,0.4000,0.00000,0.00000,0.00000,0.00000
128,0.4120,0.00000,0.00000,0.00000,0.00000
128,0.4203,0.00000,0.00000,0.00000,0.00000
128,0.4743,0.00000,0.00000,0.00000,0.00000
128,0.5000,0.00000,0.00000,0.00000,0.00000
128,0.5203,0.00000,0.00000,0.00000,0.00000
128,0.5348,0.00000,0.00000,0.00000,0.00000
128,0.5350,0.00000,0.00000,0.00000,0.00000
128,0.5463,0.00000,0.00000,0.00000,0.00000
128,0.5500,0.00000,0.00000,0.00000,0.00000
128,0.5723,0.18887,0.04471,0.14000,0.09661
128,0.5861,0.28624,0.06290,0.50000,0.12472
128,0.5966,0.34612,0.08449,0.83000,0.09487
128,0.6000,0.35732,0.08658,0.83000,0.09487
128,0.6050,0.39522,0.07725,0.96000,0.05164
128,0.6072,0.41038,0.07569,0.97000,0.04830
128,0.6084,0.43321,0.08042,0.96000,0.05164
128,0.6443,0.58743,0.02071,1.00000,0.00000
128,0.6500,0.60161,0.01444,1.00000,0.00000
128,0.6595,0.62129,0.01460,1.00000,0.00000
128,0.6639,0.63106,0.00936,1.00000,0.00000
128,0.6965,0.67960,0.00495,1.00000,0.00000
128,0.7000,0.68382,0.00501,1.00000,0.00000
128,0.7667,0.76201,0.00333,1.00000,0.00000
128,0.7747,0.77057,0.00354,1.00000,0.00000
128,0.8000,0.79762,0.00336,1.00000,0.00000
128,0.8597,0.85941,0.00253,1.00000,0.00000
128,0.9000,0.89968,0.00262,1.00000,0.00000
128,0.9483,0.94813,0.00179,1.00000,0.00000
128,0.9747,0.97486,0.00120,1.00000,0.00000
128,0.9826,0.98277,0.00098,1.00000,0.00000
128,0.9828,0.98282,0.00107,1.00000,0.00000
128,0.9978,0.99782,0.00038,1.00000,0.00000
128,0.9991,0.99909,0.00025,1.00000,0.00000
128,1.0000,1.00000,0.00000,1.00000,0.00000
256,0.0000,0.00000,0.00000,0.00000,0.00000
256,0.0186,0.00000,0.00000,0.00000,0.00000
256,0.0446,0.00000,0.00000,0.00000,0.00000
256,0.0500,0.00000,0.00000,0.00000,0.00000
256,0.0810,0.00000,0.00000,0.00000,0.00000
256,0.0932,0.00000,0.00000,0.00000,0.00000
256,0.1000,0.00000,0.00000,0.00000,0.00000
256,0.1403,0.00000,0.00000,0.00000,0.00000
256,0.1704,0.00000,0.00000,0.00000,0.00000
256,0.2000,0.00000,0.00000,0.00000,0.00000
256,0.2538,0.00000,0.00000,0.00000,0.00000
256,0.2542,0.00000,0.00000,0.00000,0.00000
256,0.2587,0.00000,0.00000,0.00000,0.00000
256,0.3000,0.00000,0.00000,0.00000,0.00000
256,0.3194,0.00000,0.00000,0.00000,0.00000
256,0.4000,0.00000,0.00000,0.00000,0.00000
256,0.4120,0.00000,0.00000,0.00000,0.00000
256,0.4203,0.00000,0.00000,0.00000,0.00000
256,0.4743,0.00000,0.00000,0.00000,0.00000
256,0.5000,0.00000,0.00000,0.00000,0.00000
256,0.5203,0.00000,0.00000,0.00000,0.00000
256,0.5348,0.00000,0.00000,0.00000,0.00000
256,0.5350,0.00000,0.00000,0.00000,0.00000
256,0.5463,0.00000,0.00000,0.00000,0.00000
256,0.5500,0.00000,0.00000,0.00000,0.00000
256,0.5723,0.14263,0.05530,0.03000,0.04830
256,0.5861,0.22790,0.05917,0.35000,0.15092
256,0.5966,0.32619,0.08179,0.82000,0.13166
256,0.6000,0.35825,0.07821,0.88000,0.11353
256,0.6050,0.41458,0.07265,0.99000,0.03162
256,0.6072,0.44389,0.06167,0.98000,0.04216
256,0.6084,0.44647,0.06003,0.99000,0.03162
256,0.6443,0.59902,0.00795,1.00000,0.00000
256,0.6500,0.61103,0.00548,1.00000,0.00000
256,0.6595,0.62831,0.00482,1.00000,0.00000
256,0.6639,0.63630,0.00393,1.00000,0.00000
256,0.6965,0.68166,0.00268,1.00000,0.00000
256,0.7000,0.68622,0.00264,1.00000,0.00000
256,0.7667,0.76287,0.00183,1.00000,0.00000
256,0.7747,0.77142,0.00176,1.00000,0.00000
256,0.8000,0.79780,0.00193,1.00000,0.00000
256,0.8597,0.85936,0.00132,1.00000,0.00000
256,0.9000,0.89994,0.00127,1.00000,0.00000
256,0.9483,0.94829,0.00085,1.00000,0.00000
256,0.9747,0.97474,0.00060,1.00000,0.00000
256,0.9826,0.98252,0.00057,1.00000,0.00000
256,0.9828,0.98284,0.00050,1.00000,0.00000
256,0.9978,0.99779,0.00018,1.00000,0.00000
256,0.9991,0.99913,0.00011,1.00000,0.00000
256,1.0000,1.00000,0.00000,1.00000,0.00000
512,0.0000,0.00000,0.00000,0.00000,0.00000
512,0.0186,0.00000,0.00000,0.00000,0.00000
512,0.0446,0.00000,0.00000,0.00000,0.00000
512,0.0500,0.00000,0.00000,0.00000,0.00000
512,0.0810,0.00000,0.00000,0.00000,0.00000
512,0.0932,0.00000,0.00000,0.00000,0.00000
512,0.1000,0.00000,0.00000,0.00000,0.00000
512,0.1403,0.00000,0.00000,0.00000,0.00000
512,0.1704,0.00000,0.00000,0.00000,0.00000
512,0.2000,0.00000,0.00000,0.00000,0.00000
512,0.2538,0.00000,0.00000,0.00000,0.00000
512,0.2542,0.00000,0.00000,0.00000,0.00000
512,0.2587,0.00000,0.00000,0.00000,0.00000
512,0.3000,0.00000,0.00000,0.00000,0.00000
512,0.3194,0.00000,0.00000,0.00000,0.00000
512,0.4000,0.00000,0.00000,0.00000,0.00000
512,0.4120,0.00000,0.00000,0.00000,0.00000
512,0.4203,0.00000,0.00000,0.00000,0.00000
512,0.4743,0.00000,0.00000,0.00000,0.00000
512,0.5000,0.00000,0.00000,0.00000,0.00000
512,0.5203,0.00000,0.00000,0.00000,0.00000
